Title,Issuer,Date,User
Mathematics for machine learning: Linear Algebra,Coursera,Issued Jul 2020,abdelrahman-mamdouh-60b318157
Deep Learning Specialization by deeplearning.ai on Coursera,Coursera,Issued Aug 2018,abdelrahman-mamdouh-60b318157
Fundamentals of Network Communication,Coursera,Issued Dec 2020,abdelrahman-mohamedd
AI For Everyone,Coursera,Issued Nov 2020,abdelrahman-mohamedd
C Programming with Linux professional program,edX,Issued Feb 2020,abdelrahman-mohamedd
ISTQB certificate,Orange Digital Center Egypt,,abdelrahman-osama-074758246
Cybersecurity Capstone Project,Coursera,Issued Mar 2018,abdelrhman-mohamed-ashraf-7bb43410b
Cybersecurity Specialization,Coursera,Issued Mar 2018,abdelrhman-mohamed-ashraf-7bb43410b
Hardware Security,Coursera,Issued Jan 2018,abdelrhman-mohamed-ashraf-7bb43410b
power searching with google,Issued Oct 2012,,abdofawzi5
React Nanodegree,Udacity,Issued May 2021,abdomagdy
Web Development Advanced,Udacity,Issued Nov 2020,abdomagdy
Web Development Professional,Udacity,Issued Oct 2020,abdomagdy
Embedded Microcontroller Serial Communication protocols,Udemy,Issued Apr 2022,abdullah-hanfy
CPP,Sololearn,Issued Mar 2022,abdullah-hanfy
PYTHON PROGRAMMING BASICS Course,Information Technology Institute (ITI),Issued Dec 2020,abdullah-hanfy
Responsive Web Design,freeCodeCamp,Issued Sep 2021,abdullahadel41
Certificate of Appreciation,Google DSC Cairo University - Faculty of Engineering,Issued Aug 2021,abdullahadel41
JavaScript Algorithms and Data Structures,freeCodeCamp,Issued Jun 2021,abdullahadel41
Java Foundations Certified Junior Associate Certification,HackerRank,Issued Dec 2020,abdulrahman-fouad-066763104
Machine Learning Foundations: A Case Study Approach,Coursera,Issued Jan 2021,abdulrahman-shahat-499862181
Introduction to SQL,DataCamp,,abdulrahman-shahat-499862181
C++ Design Patterns: Creational,LinkedIn,Issued Jul 2022,abdulrahmanmahmoud
Deep Learning Specialization,Coursera,Issued Sep 2018,abdulrahmanmahmoud
Data Structures,Coursera,Issued Jul 2018,abdulrahmanmahmoud
Natural Language Processing in Python Track,DataCamp,Issued Jan 2022,adel-el-nabarawy-25a3391b7
Advanced Data Analysis Nanodegree,Udacity,Issued Oct 2021,adel-el-nabarawy-25a3391b7
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DeepLearning.AI,Issued Oct 2021,adel-el-nabarawy-25a3391b7
The Complete JavaScript Course,Udemy,Issued Apr 2020,adel-sadek-1aa018148
"React - The Complete Guide (incl Hooks, React Router, Redux)",Udemy,Issued Feb 2020,adel-sadek-1aa018148
Modern React with Redux,Udemy,Issued Jan 2020,adel-sadek-1aa018148
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Coursera,Issued Sep 2020,adham-hesham-15b8b21a9
Machine Learning,Coursera,Issued Aug 2020,adham-hesham-15b8b21a9
Mathematics for Machine Learning Specialization,Coursera,Issued Aug 2020,adham-hesham-15b8b21a9
Natural Language Processing Specialization,Coursera,Issued Oct 2020,ahmaddosama
AI For Everyone,Coursera,Issued Sep 2020,ahmaddosama
DeepLearning.AI TensorFlow Developer Specialization,Coursera,Issued Sep 2020,ahmaddosama
LFS250: Kubernetes and Cloud Native Essentials,The Linux Foundation,Issued Mar 2023,ahmawad96
AWS Certified Machine Learning – Specialty,Amazon Web Services (AWS),Issued Aug 2021,ahmawad96
Structuring Machine Learning Projects,Coursera,Issued Dec 2018,ahmawad96
Data Science Fundamentals,IBM,Issued Nov 2018,ahmed-abdelmalek
Introduction to Databases in Python Course,DataCamp,Issued Oct 2018,ahmed-abdelmalek
Programming for Everybody (Getting Started with Python),Coursera,Issued Oct 2018,ahmed-abdelmalek
Introduction to 5G,LinkedIn Learning,Issued Aug 2021,ahmed-abdelsalam-a8933842
Problem Solving (Basic),"HackerRank Campus Club, AUFS",Issued May 2020,ahmed-abdelsalam-a8933842
Getting Started with Web API Test Automation in Java,Pluralsight,Issued Jan 2020,ahmed-abdelsalam-a8933842
MLOps (Machine Learning Operations) Fundamentals,Google,Issued Mar 2022,ahmed-ayman-3741551a5
Programming for Everybody (Getting Started with Python),Coursera,Issued Feb 2020,ahmed-ayman-3741551a5
Python Data Structures,Coursera,Issued Feb 2020,ahmed-ayman-3741551a5
Associate Web Developer certification,OutSystems,Issued Mar 2020,ahmed-bahaa-584346147
Communicating with Transparency,LinkedIn,Issued Aug 2021,ahmed-el-shoubashy-70237519a
Communication Foundations,LinkedIn,Issued Aug 2021,ahmed-el-shoubashy-70237519a
Customer Service Mastery: Delight Every Customer,LinkedIn,Issued Aug 2021,ahmed-el-shoubashy-70237519a
CSS The Complete Guide incl (Flexbox - grid - sass),Udemy,Issued Apr 2020,ahmed-elabd-b30977152
JavaScript the complete guide 2020 beginner advanced,Udemy,Issued Mar 2020,ahmed-elabd-b30977152
ISTQB Certified Tester,International Software Testing Qualifications Board,Issued Sep 2011,ahmed-eldakhakhny
Sequence Models,Coursera,Issued Nov 2018 · Expired Nov 2018,ahmed-gabal-106195131
Data Analyst,Udacity,Issued Aug 2018 · Expired Aug 2018,ahmed-gabal-106195131
Neural Networks and Deep Learning,Coursera,Credential ID 42RBRXBDM9XD,ahmed-gabal-106195131
Cloud Computing Foundations,Duke University,Issued Apr 2022,ahmed-hani-ibrahim-07270960
Advanced Cloud DevOps,Udacity,Issued Jun 2022,ahmed-ihab-54b1a1195
Artificial Intelligence Analyst 2020,IBM,Issued Oct 2020,ahmed-ihab-54b1a1195
Machine Learning Foundations: A Case Study Approach,Coursera,Issued Sep 2020,ahmed-ihab-54b1a1195
Android Basics Nanodegree By Google,Udacity,Issued Mar 2018,ahmed-khaled-221433142
"EMC Academic Associate, Data Science and Big Data Analytics certificate",Dell EMC,Issued Jul 2017,ahmed-khaled-221433142
JavaScript (Intermediate) Certificate,HackerRank,Issued Oct 2022,ahmed-khaled-a53363193
Rest API (Intermediate) Certificate,HackerRank,Issued Oct 2022,ahmed-khaled-a53363193
Back End Development and APIs,freeCodeCamp,Issued Aug 2022,ahmed-khaled-a53363193
Project Management Professional (PMP),Google,Issued Apr 2022,ahmed-khaled-b907b4144
Data Engineer career path,DataCamp,Issued Jul 2021,ahmed-khaled-b907b4144
Data Engineer nanodegree,Udacity,Issued Jun 2021,ahmed-khaled-b907b4144
Go Fundamentals,Pluralsight,Issued Nov 2022,ahmed-khalil-357152199
SQL (Basic),HackerRank,Issued Jun 2021,ahmed-khalil-357152199
SQL &amp; Database Design A-Z™: Learn MS SQL Server + PostgreSQL,Udemy,Issued Apr 2021,ahmed-khalil-357152199
Agile Tester (CTFL-AT),"Information Technology Industry Development Agency, ITIDA",Credential ID #230123321,ahmed-m-ibrahim-4a3b3416a
Certified Tester Foundation Level (CTFL),"Information Technology Industry Development Agency, ITIDA",Credential ID #200825003,ahmed-m-ibrahim-4a3b3416a
Java Android Deploma,Senior Steps - IT training center,,ahmed-m-ibrahim-4a3b3416a
Advanced Full-Stack Web Development Nanodegree,Udacity,Issued Feb 2023,ahmed-mamdouh-7bb701192
Data Analysis Professional Nanodegree,Udacity,Issued Feb 2021,ahmed-mamdouh-7bb701192
Convolutional Neural Networks,DeepLearning.AI,Issued Nov 2020,ahmed-mamdouh-7bb701192
Sensor Fusion,Udacity,Issued Jan 2021,ahmed-moamen-897359180
Deep Learning Specialization,Coursera,Issued Sep 2020,ahmed-moamen-897359180
Machine Learning,Coursera,Issued Aug 2020,ahmed-moamen-897359180
Android Certifcation,"Ministry of Communications and Information Technology (MCIT), Egypt",Issued Jun 2015,ahmed-mohamed-akl
Java,"Ministry of Communications and Information Technology (MCIT), Egypt",Issued Feb 2011,ahmed-mohamed-akl
Productionalizing Data Pipelines with Apache Airflow 1,Pluralsight,Issued Mar 2022,ahmed-mokbel-105b53168
Google Data Analytics Specialization,Google,Issued Feb 2022,ahmed-mokbel-105b53168
SQL (Basic) Certificate,HackerRank,Issued Feb 2022,ahmed-mokbel-105b53168
Probability,365 Data Science,Issued Apr 2020,ahmed-nageh-0921b9128
Statistics,365 Data Science,Issued Apr 2020,ahmed-nageh-0921b9128
Tableau,365 Data Science,Issued Apr 2020,ahmed-nageh-0921b9128
Responsive Web Design,freeCodeCamp,Issued Jul 2022,ahmed-salah-1a3926162
HackerRank CSS Certificate,HackerRank,Issued Dec 2021,ahmed-salah-1a3926162
Power BI A-Z: Hands-On Power BI Training For Data Science,Udemy,Issued Jun 2020,ahmed-samir-58250284
Machine Learning A-Z™: Hands-On Python &amp; R In Data Science - Udemy,Udemy,Issued Jan 2018,ahmed-samir-58250284
CentOS and Red Hat Linux-RHCSA - Udemy,Udemy,Issued Aug 2017,ahmed-samir-58250284
Advanced React For Enterprise: React for senior engineers.,Udemy: Online Courses,,ahmed-samir-83474a121
Designing RESTful Web APIs,Pluralsight,,ahmed-samir-83474a121
Node.js 12: Getting Started,Pluralsight,,ahmed-samir-83474a121
Database Design and Basic SQL in PostgreSQL,University of Michigan,Issued Jan 2023,ahmed-samy-datascientist
Machine Learning Engineering for production (MLOPS),Coursera,Issued Oct 2022,ahmed-samy-datascientist
Data science with python,DataCamp,Issued Oct 2021,ahmed-samy-datascientist
Build a Backend REST API with Python &amp; Django - Advanced,Udemy,Issued Jan 2022,ahmed-sayed-mansour-139101182
Build a Backend REST API with Python &amp; Django - Beginner,Udemy,Issued Dec 2021,ahmed-sayed-mansour-139101182
Deep Learning.AI,Coursera,Issued Jul 2021,ahmed-sayed-mansour-139101182
Building a Personal Portfolio with Django,LinkedIn,Issued Apr 2023,ahmed-wael-3b61a0111
Learning Docker,LinkedIn,Issued Apr 2023,ahmed-wael-3b61a0111
Python Object-Oriented Programming,LinkedIn,Issued Apr 2023,ahmed-wael-3b61a0111
AWS Academy Graduate - AWS Academy Cloud Foundations,Amazon Web Services (AWS),Issued Sep 2022,ahmed-waleed-79111a224
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Mar 2023 · Expires Mar 2026,ahmed-waleed-79111a224
Hash Code Participation,Google,Issued Feb 2021,ahmed-wasfey-sleem
ECPC participation,"ACM, Association for Computing Machinery",Issued Nov 2020,ahmed-wasfey-sleem
EVER participation,Ain Shams University,Issued Oct 2020,ahmed-wasfey-sleem
Intermediate Kotlin for Android Developers,LinkedIn,Issued Oct 2019,ahmed-younis-57208a150
Kotlin Essential Training,LinkedIn,Issued Oct 2019,ahmed-younis-57208a150
Master Microservices with Spring Boot and Spring Cloud,Udemy,Issued Oct 2019,ahmed-younis-57208a150
Critical Thinking,LinkedIn,Issued Feb 2021,ahmed-yousry12
Critical Thinking for Better Judgment and Decision-Making,LinkedIn,Issued Feb 2021,ahmed-yousry12
"Develop Critical-Thinking, Decision-Making, and Problem-Solving Skills",LinkedIn,Issued Feb 2021,ahmed-yousry12
CKA: Certified Kubernetes Adminstrator,The Linux Foundation,Issued Oct 2022,ahmed-zakaria-20184a146
Essential Google Cloud Infrastructure: Core Services,Coursera,Issued Jul 2021,ahmed-zakaria-20184a146
Associate Cloud Engineer,Google,Issued Feb 2023 · Expires Feb 2026,ahmed-zakaria-20184a146
Android Basics Nanodegree By Google,Udacity,Issued Aug 2017,ahmedabdallahnasr
Developing Android Apps,Udacity,Issued Dec 2016,ahmedabdallahnasr
Mobile Application Development with Worklight Studio,IBM,Issued Apr 2016,ahmedabdallahnasr
Full Stack Web Developer Nanodegree,Udacity,Issued Nov 2020,ahmedabuamra
Problem Setter and Contestant,ICPC - International Collegiate Programming Contest,,ahmedabuamra
ICAgile Certified Professional,ICAgile,Issued Mar 2022,ahmedashraf97
Web Development Professional - Nanodegree,Udacity,Issued Jan 2021,ahmedashraf97
Continuous Delivery &amp; DevOps,Coursera,Issued Oct 2019,ahmedelkhaberi
Predix Certified Developer,GE,Issued Sep 2018,ahmedelkhaberi
AWS Fundamentals: Going Cloud-Native by Amazon Web Services,Coursera,Issued Dec 2019,ahmedeltaweel
Data Structures,Coursera Course Certificates,Issued Mar 2017,ahmedeltaweel
Algorithmic Toolbox,Coursera Course Certificates,Issued Jan 2017,ahmedeltaweel
Security Fundamentals Professional Certification (SFPC),CertiProf,Issued Jul 2020,ahmedessam-12
Agile Tester (CTFL-AT),ISTQB® - International Software Testing Qualifications Board,Issued Nov 2019,ahmedessam-12
ISTQB Security Tester,ISTQB® - International Software Testing Qualifications Board,Issued Aug 2019,ahmedessam-12
Mathematics for Machine Learning: Linear Algebra,Coursera,Issued Feb 2020,ahmedfathykhalid
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Dec 2018,ahmedfathykhalid
AWS Certified Sysops Admin - Associate,Amazon Web Services (AWS),Issued Dec 2018,ahmedfathykhalid
Analyze Data to Answer Questions,Coursera,Issued Feb 2022,ahmedhamed2020
Process Data from Dirty to Clean,Coursera,Issued Jan 2022,ahmedhamed2020
Prepare Data for Exploration,Coursera,Issued Dec 2021,ahmedhamed2020
Azure Microservices with .NET Core for Developers,LinkedIn,Issued Jul 2020,ahmedhussam
Threading in C#,LinkedIn,Issued Jul 2020,ahmedhussam
Duolingo French Fluency: Beginner (Estimated),Duolingo,Issued May 2016,ahmedhussam
Agile Crash Course for Beginners,Udemy,Issued Apr 2022,ahmedkhames
Database Fundamentals,Information Technology Institute (ITI),Issued Apr 2022,ahmedkhames
Introduction to JavaScript,Information Technology Institute (ITI),Issued Apr 2022,ahmedkhames
Pre-Sales Associate Certification,OutSystems,Issued Feb 2023,ahmedmabrouck
Associate Reactive Developer,OutSystems,Issued Dec 2022,ahmedmabrouck
Software Architecture: From Developer to Architect,LinkedIn,Issued Sep 2021,ahmedmabrouck
IELTS Academic Score 7.0,IELTS Official,Issued Sep 2021,ahmedmks
Shader Development from Scratch for Unity with Cg,Udemy,Issued Oct 2019,ahmedmks
VR/AR Game Developer Certified,American Center,Issued Aug 2019,ahmedmks
CSS,,,ahmedmuti
HTML,,,ahmedmuti
JavaScript,,,ahmedmuti
Cloud Devops Engineer Nanodegree,Udacity,Issued Nov 2020,ahmednasser23
Machine Learning,Stanford University,Issued Jun 2020,ahmednasser23
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",DeepLearning.AI,Issued Apr 2020,ahmednasser23
"Baseline: Data, ML, AI",Google,Issued Nov 2019,ahmednmahran
"G Suite Essentials Earned Nov 26, 2019",Google,Issued Nov 2019,ahmednmahran
"GCP Essentials Earned Nov 27, 2019",Google,Issued Nov 2019,ahmednmahran
AlgoExpert,AlgoExpert,Issued Oct 2022,ahmedosama9777
SystemsExpert,AlgoExpert,Issued Aug 2022,ahmedosama9777
Bot Developer (A2019),Automation Anywhere,Issued Apr 2021,ahmedosama9777
Data Science and Big Data Analytics,EMC | Northern California,Issued May 2017,ahmedshalaby96
Machine Learning Engineering for Production (MLOps) Specialization,Coursera,Issued Mar 2023,ahmedtremo
Machine Learning Data Lifecycle in Production,Coursera,Issued Feb 2023,ahmedtremo
Deploying Machine Learning Models in Production,Coursera,Issued Feb 2023,ahmedtremo
Flutter Developer,Udemy,Issued Jan 2021,ahmedyassernosseir
iOS Developer Nanodegree,Udacity,Issued Mar 2019,ahmedyassernosseir
Android Basics Nanodegree,Udacity,Issued May 2017,ahmedyassernosseir
Arab and Africa Collegiate Programming Contest (ACPC) 2018,ICPC - International Collegiate Programming Contest,Issued Nov 2018,ahmibr68
Egyptian Collegiate Programming Contest (ECPC) 2018,ICPC - International Collegiate Programming Contest,Issued Oct 2018,ahmibr68
Egyptian Collegiate Programming Contest (ECPC) 2017,ICPC - International Collegiate Programming Contest,Issued Nov 2017,ahmibr68
Applications of AI for Anomaly Detection,NVIDIA,Issued Jul 2022,aielawady
Applications of AI for Anomaly Detection,NVIDIA,Issued Jul 2022,aielawady
Fundamentals of Deep Learning - Instructor Certificate,NVIDIA,Issued Mar 2022,aielawady
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Coursera,Issued Jan 2021,akabdelrahman
Advanced Data Analysis - FWD,Udacity,Issued Dec 2020,akabdelrahman
Convolutional Neural Networks - deeplearning.ai,Coursera,Issued Sep 2020,akabdelrahman
Complete Web Development Bootcamp,Udemy,Issued Jul 2021,alaa-mady-7a8aa51a8
Data Analysis Workshop,Electro Pi,Issued May 2021,alaa-mady-7a8aa51a8
Front-End professional Web Development Nanodegree,Udacity,Issued May 2021,alaa-mady-7a8aa51a8
SAP Certified Development Professional - SAP Commerce Cloud 1811 Developer,SAP SE,Issued Jun 2019,alaa-moaataz-3740308b
React,HackerRank,Issued Oct 2022,alaa-moustapha
css,HackerRank,Issued Oct 2022,alaa-moustapha
javascript,HackerRank,Issued Oct 2022,alaa-moustapha
Kubernetes: The Documentary,LinkedIn,Issued Mar 2023,alaaelnagy
Kubernetes: Cloud Native Ecosystem,LinkedIn,Issued Feb 2023,alaaelnagy
Learning Kubernetes,LinkedIn,Issued Feb 2023,alaaelnagy
Machine Learning Cross-Skilling Nanodegree,Udacity,Issued Apr 2022,alaagamaall
Advanced Data Analysis Nanodegree,Udacity,Issued Mar 2022,alaagamaall
Intel® Edge AI for IoT Developers Nanodegree Scholarship,Udacity,Issued Jul 2020,alaagamaall
Agile Foundations,LinkedIn,Issued Feb 2022,ali-harby-4103b7169
Get Ready for Your Coding Interview,LinkedIn,Issued Feb 2022,ali-harby-4103b7169
Advanced Django,LinkedIn,Issued Jan 2022,ali-harby-4103b7169
The Complete React Developer Course (w/ Hooks and Redux),Udemy,Issued Nov 2021,aliaa-attia
learn HTML and CSS,MaharaTech,Issued Oct 2021,aliaa-attia
database fundamentals,MaharaTech,Issued Aug 2021,aliaa-attia
Transact-SQL (T-SQL) Assessment,LinkedIn,Issued Apr 2021,aliaa-yasser
Natural Language Processing with Probabilistic Models,Coursera,Issued Oct 2020,aliabdelaal
Natural Language Processing,Coursera,Issued Jun 2020,aliabdelaal
Natural Language Processing with Classification and Vector Spaces,Coursera,Issued Jun 2020,aliabdelaal
eCPPTv2,eLearnSecurity,Issued Oct 2022,alien0x
Dante Pro lab,Hack The Box,Issued Aug 2022,alien0x
Coding Intro,IBM,Issued Jan 2020,alimagedayad
Googe Code-in,Google,Issued Jan 2020,alimagedayad
Google Code-in,Google,Issued Dec 2018,alimagedayad
Computer Vision NanoDegree,Udacity,Issued Aug 2020,aly-ramzy-24450b179
1 Million Arab Coders,Udacity,Issued Dec 2018,aly-ramzy-24450b179
AWS Certified Cloud Practitioner,Amazon Web Services (AWS),Issued Jun 2022 · Expires Jun 2025,aly-sabry-4b1a50185
"HTML, CSS and JavaScript",Coursera Course Certificates,Issued Dec 2016,alyymagdy
Deep Learning Specialization,DeepLearning.AI,Issued Nov 2020,aman-allah-rafat
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization",Coursera,Issued Oct 2018,amina-gaber-088026a5
"EMC Academic Associate, Data Science and Big Data Analytics",EMC,Credential ID C0L4KX96CJFQ1HK1,amina-gaber-088026a5
Intermediate Python for Data Science Course,DataCamp,"Credential ID #7,297,162",amina-gaber-088026a5
Learning Django,LinkedIn,Issued Dec 2019,amira-ashmawy-247252a1
Using Python for Automation,LinkedIn,Issued Dec 2019,amira-ashmawy-247252a1
Triplebyte Certified Generalist Engineer,Triplebyte,Issued Sep 2021,amira-mamoun-395b4862
edX Verified Certificate for Machine Learning Fundamentals,edX,Issued Apr 2021,amiramamdouh
Cybersecurity,Coursera,,amiramohkamal
Hcia-AI,Huawei,,amiramohkamal
Mobile package ( 2G &amp; 3G ),Udemy Free Courses,,amiramohkamal
Google Data Analytics Specialization,Coursera,Issued Oct 2021,ammar21
The Complete 2021 Flutter Development Bootcamp with Dart,Udemy,Issued Apr 2021,ammar21
"Baseline: Data, ML, AI",Qwiklabs,Issued Oct 2020,ammar21
Contestan,ICPC - International Collegiate Programming Contest,,amr-anwr-aa92211b2
Building Trust,LinkedIn,Issued Sep 2021,amr-el-agamy-45a72a2
Managing Virtual Teams,LinkedIn,Issued Sep 2021,amr-el-agamy-45a72a2
Mathematics for Machine Learning Specialization,Coursera,Issued Oct 2020,amr-elsersy-a29484198
Convolutional Neural Networs,Coursera,Issued Sep 2020,amr-elsersy-a29484198
Neural Networks and Deep Learning,Coursera,Issued Aug 2020,amr-elsersy-a29484198
"Specialist - Data Scientist, Advanced Analytics Version 1.0",Dell Technologies,Issued Aug 2021,amr-elsherbiny-769092138
"Specialist - Data Scientist, Data Engineering Version 1.0",Dell Technologies,Issued Aug 2021,amr-elsherbiny-769092138
Associate - Data Science Version 2.0,Dell Technologies,Issued Jul 2021,amr-elsherbiny-769092138
C Programming with Linux,edX,Issued Jan 2022,amr-m-abdelgawad
ICPCID,ICPC - International Collegiate Programming Contest,,amr-magdy-095007131
Cloud Application Developer 2018 - Explorer Award for Students,IBM,Issued May 2018,amr-mohamed-foad
IT Academy: Cloud and Virtualization Concepts,VMware,Issued Sep 2021,amr-muhammed
Computer Network Fundamentals,MaharaTech,Issued Jul 2021,amr-muhammed
Ethical Hacking,MaharaTech,Issued Jul 2021,amr-muhammed
IELTS Academic 8.0,IELTS Official,Issued Sep 2022,amrmustafa97
Underwater Robotics ROV Challenge,"Arab Academy for Science, Technology and Maritime Transport",Issued Nov 2020,amrmustafa97
Neural Networks and Deep Learning,Coursera,Issued Jul 2020,amrmustafa97
Google Kickstart competition,Google,Issued Aug 2020,amroakmal
Supercharging Your GitHub,Pluralsight,Issued Jul 2020,amroakmal
Full-Stack Web Development,Udemy,Issued May 2020,amroakmal
"App Deployment, Debugging, and Performance",Coursera,Issued Jun 2020,amrtarekmo
Developing Applications with Google Cloud Platform,Coursera,Issued Jun 2020,amrtarekmo
Getting Started With Application Development,Coursera,Issued Jun 2020,amrtarekmo
Complete Modern C++ (C++11/14/17),Udemy,Issued Mar 2023,antoun-wagdy-025443b6
Predictive Analytics Modeler - Explorer Award for Students 2016,IBM,Issued Jan 2018,antoun-wagdy-025443b6
Predictive Analytics Modeler - Mastery Award for Students 2016,IBM,Issued Jan 2018,antoun-wagdy-025443b6
Sun Certified Java Programmer (SCJP) 1.6,Issued May 2013,,arrashed
Advanced Data Analaysis Nanodegree,Udacity,Issued Jan 2021,arwa-mohammed-abdelhamid
Microsoft Certified: Azure Fundamentals,Microsoft,Issued Jun 2022,asmaa-elsayed-ahmed
IT Academy: Cloud and Virtualization Concepts,VMware,Issued Jan 2022,asmaa-elsayed-ahmed
IT Academy: Network Virtualization Concepts,VMware,Issued Jan 2022,asmaa-elsayed-ahmed
ISTQB (CTFL),ISTQB® - International Software Testing Qualifications Board,Issued Aug 2018,asmaa-ramadan
Professional - level 1 in manual testing,RankSheet Online Services Pvt. Ltd.,Issued Nov 2016,asmaa-ramadan
Egypt app factory program completion,Microsoft,Issued Aug 2015,asmaa-ramadan
Programming Foundations: APIs and Web Services,LinkedIn,Issued May 2022,asmaa-salem-a11741124
Programming Foundations: Algorithms,LinkedIn,Issued May 2022,asmaa-salem-a11741124
