University,Degree,Date,User
Faculty of Computers and Artificial Intelligence Helwan University ‎,"student, IT",Sep 2017 - 2021,abdulrahman-shahat-499862181
Ain Shams University,Computer Engineering and systems,2014 - 2019,abdulrahmanmahmoud
University of Ottawa,"Master of Engineering - MEng, Electrical and Computer Engineering, Artificial Intelligence and Data Science",May 2021 - Feb 2022,adel-el-nabarawy-25a3391b7
Mansoura University,"Faculty Of Computers And Information Sciences, Bachelor of Computer Science",2016 - 2020,adel-el-nabarawy-25a3391b7
Information Technology Institute (ITI),Full Stack Development (150 Hours ),May 2019 - Aug 2019,adel-el-nabarawy-25a3391b7
"Faculty of engineering, Ain Shams university.","Bachelor's degree, Computer and Systems engineering",2014 - 2019,adel-m-aek
"Faculty of engineering, Ain Shams university","Master of Science - MSc, Computer and Systems engineering",Sep 2020,adel-m-aek
Information Technology Institute (ITI),Front-end Development &amp; UI / UX,2017 - 2018,adel-sadek-1aa018148
Bachelor of Arts and Education,"Bachelor, Arabic Language and Literature",2011 - 2015,adel-sadek-1aa018148
Ain Shams University,"Engineer's degree, Computer Engineering",2017 - 2021,adham-hesham-15b8b21a9
Cairo University,"BA of Computer Science , Computer Science",2017 - 2021,adham-mamdouh-1941b518b
Minufiya University,"Bachelor's degree, Mathematics and Computer Science",2017 - 2021,aelrewaidy
Draper University,"C.A. Degree in Entrepreneurship, Entrepreneurship &amp; Startups",2013 - 2013,aessam
"Arab Academy for Science, Technology and Maritime Transport","Diploma, Computer Science",2009 - 2011,aessam
Cairo University,"Bachelor's Degree, Management Information Systems, General",2004 - 2005,aessam
Alexandria University,"Bachelor's degree, Computer Science",2012 - 2017,ahmad-adel-elkilany-3b48a5109
Cairo University,"Bachelor's degree, Computer Engineering",2018 - 2023,ahmad-gadallah-33060a17a
Egyptian International Language School,2016 - 2018,,ahmad-gadallah-33060a17a
Cairo University,"Bachelor's degree, Computer Engineering",2017 - Jun 2022,ahmaddosama
Dar El Tarbiah Language School,General Secondary Education,2014 - 2017,ahmaddosama
Faculty of Engineering - Alexandria University,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",2016 - 2021,ahmadhindawy
Ain Shams University,"Bachelor's degree, Computer and systems engineering",2014 - 2019,ahmawad96
faculty of engineering mansoura,"Bachelor's degree, Computer Software Engineering",2005 - 2011,ahmdelemam
Udacity,"Nanodegree, Machine learning Engineer",2017 - 2018,ahmed-abdelmalek
Udacity,Data Analysis track,2018 - 2018,ahmed-abdelmalek
Mansoura University,"Bachelor's Degree, electronics and communications engineering",2012 - 2017,ahmed-abdelmalek
"Arab Academy for Science, Technology and Maritime Transport","Bachelor's Degree, Information Technology",2008 - 2013,ahmed-abdelsalam-a8933842
Ain Shams University,"Bachelor of Engineering - BE, Computer Engineering and Software Systems",2016 - 2021,ahmed-alsaey-995017177
Futures language school,2002 - 2016,,ahmed-alsaey-995017177
Helwan University Cairo,"Bachelor's, Electrical Engineering Technologies/Technicians",2014 - 2019,ahmed-amin-hassan-6aa619212
Cairo University,"Engineer's degree, Computer Engineering",2017 - 2022,ahmed-ayman-3741551a5
Ain Shams University,"Very Good(rank of honor), Computer and Information Sciences and Support Services",2013 - 2017,ahmed-bahaa-584346147
Faculty of engineering Alexandria university,"Bachelor's degree, computer and communication",2016 - 2021,ahmed-el-shoubashy-70237519a
The British University in Egypt,"Bachelor of Informatics And Computer Science, Computer Software Engineering",2014 - 2018,ahmed-elabd-b30977152
Academind,Computer Software Engineering,2019 - 2020,ahmed-elabd-b30977152
Information Technology Institute (ITI),Mobile application development,2019 - 2019,ahmed-elabd-b30977152
Mansoura University,"Bachelor's degree, Management Information Systems and Services",2012 - 2016,ahmed-elbatrawy-9a1480103
Faculty of Computers and Informatics,"Bachelors, Computer Science",2003 - 2008,ahmed-eldakhakhny
Zagazig University,Computer Science,,ahmed-eldakhakhny
Technical University of Munich,"Master of Science - MS, Electrical Engineering and Information Technology",2017 - 2019,ahmed-elgarem-b996b065
Technical University of Munich,"Bachelor of Science - BS, Electrical Engineering and Information Technology",2013 - 2017,ahmed-elgarem-b996b065
Deutsche Evangelische Oberschule,Abitur,2004 - 2013,ahmed-elgarem-b996b065
Ain Shams University,"Computer Engineering, Computer Engineering",2016 - 2021,ahmed-elqaffas
Alexandria University,"Bachelor's degree, Electrical, Electronics and Communications Engineering",Sep 2015 - Jul 2020,ahmed-elsayedm
Information Technology Institute (ITI),Open source track (applications development),2018 - 2019,ahmed-esam-elzlabany-0157a5181
Suez Canal University,"good 71%, Computer Science",2015 - 2018,ahmed-esam-elzlabany-0157a5181
Nile University,"Master's degree - Data science, Informatics",Oct 2021 - Nov 2023,ahmed-gabal-106195131
Nile University,"professional Diploma, Data science and Big Data",2018 - 2019,ahmed-gabal-106195131
Al Safwa High Institute of Engineering,"Bachelor's degree, Electrical and Communication Engineering",2012 - 2017,ahmed-gabal-106195131
future,"very good, Computer Science",2012 - 2016,ahmed-ghanem-968496164
Purdue University,"Doctor of Philosophy (PhD), Computer Engineering",2008 - 2014,ahmed-hamdy-abdel-gawad-50878325
Cairo University,"Master of Science (MS), Computer Engineering",2003 - 2006,ahmed-hamdy-abdel-gawad-50878325
Cairo University,"Bachelor of Science (BS), Computer Engineering",1998 - 2003,ahmed-hamdy-abdel-gawad-50878325
Cairo University,"Master’s Degree, Computer Science",Jan 2018 - Mar 2024,ahmed-hani-ibrahim-07270960
Cairo University,"Postgraduate degree (Diploma), Computer Science",Mar 2016 - Sep 2017,ahmed-hani-ibrahim-07270960
Ain Shams University,"Bachelor's degree, Computer Science",2011 - 2015,ahmed-hani-ibrahim-07270960
Alexandria University,"Master's Degree, Computer Engineering",2014 - 2018,ahmed-hisham-7a250260
Alexandria University,"Bachelor's degree, Computer and Systems Engineering Departement",2009 - 2014,ahmed-hisham-7a250260
Gamal Abdel Nasser School,"99%, secondary school",2006 - 2009,ahmed-hisham-7a250260
Cairo University,"Bachelor's degree, Computer Engineering",Sep 2018 - Jul 2023,ahmed-ihab-54b1a1195
Cairo University,"درجة البكالوريوس , Information Technology",2013 - 2017,ahmed-khaled-221433142
Thebes Academy,"Bachelor's degree, Computer Science",Sep 2017 - Jun 2021,ahmed-khaled-86b6b1151
Cairo University,"Bachelor's degree, Computer Engineering",2018 - 2023,ahmed-khaled-a53363193
Helwan University Cairo,"Master's degree, Biomedical/Medical Engineering",Oct 2021 - Jan 2025,ahmed-khaled-b907b4144
Higher Technological Institute,2014 - 2019,,ahmed-khaled-b907b4144
El Shorouk Academy,"Bachelor's degree, Computer and control engineering",2013 - 2018,ahmed-khalil-357152199
"Faculty of Computing and Information, Misr Higher institute for commerce and computers","Bachelor of Computer Science, Computer Science",2015 - 2019,ahmed-m-hamed
Zagazig University,"بكالوريوس حاسبات و معلومات, computer science",2014 - 2018,ahmed-m-ibrahim-4a3b3416a
Ain Shams University,"Computer Engineering, Computer Engineering and Software Systems",2016 - 2021,ahmed-mamdouh-7bb701192
Ain Shams University,"Bachelor's degree, Computer Engineering",Sep 2016 - Jul 2021,ahmed-moamen-897359180
Ministry of Communications and Information Technology (MCIT),"Android Developer, Computer Software Engineering",2015 - 2015,ahmed-mohamed-akl
Faculty of Computers &amp; Information,"Bachelor's degree, Computer science Department",2008 - 2012,ahmed-mohamed-akl
Helwan University Cairo,"Bachelor's degree, computer science and artificial intelligence",2016 - 2020,ahmed-mokbel-105b53168
"faculty of engineering , Tanta university","Bachelor's degree, Communication and Electronics Engineering",2012 - 2017,ahmed-nageh-0921b9128
Information Technology Institute (ITI),"9-Month Diploma, Embedded Systems",2019 - 2020,ahmed-qandeel
Mansoura University,"Bachelor's degree, Biomedical/Medical Engineering",2014 - 2019,ahmed-qandeel
Cairo University,"Higher Diploma, Computer science",Sep 2021 - Jun 2023,ahmed-salah-1a3926162
Cairo University,"Bachelor , Agriculture",Sep 2005 - May 2009,ahmed-salah-1a3926162
Cairo University,"Pre-Master, Computer Science",2019 - 2020,ahmed-samir-58250284
"Faculty of Computers and Information, Cairo University","B.S, Information Technology",2008 - 2012,ahmed-samir-58250284
Faculty of computer and information science Ain Shams University,"Bachelor's degree, Computer Science",2015 - 2019,ahmed-samir-83474a121
Suez Canal University,"Bachelor's degree, Computer Science",Oct 2018 - Jul 2022,ahmed-samir-b0206b1b8
Zagazig University,"Bachelor of Applied Science - BASc, Computer and Information Sciences and Support Services",2014 - 2018,ahmed-samy-datascientist
Information Technology Institute (ITI),"Post-grad , Artificial Intelligence",Apr 2021 - Dec 2021,ahmed-samy-datascientist
Zagazig University,"Master's degree, Artificial Intelligence and Information Systems",Oct 2022 - Oct 2024,ahmed-samy-datascientist
Cairo University,"Bachelor's degree, Computer Science",Sep 2017 - Jul 2021,ahmed-sayed-mansour-139101182
Information Technology Institute (ITI),Web development,2019 - 2019,ahmed-senjer-519207168
"Faculty of Petroleum and Mining Engineering, Suez University","Bachelor's degree, Petroleum Engineering",2014 - 2018,ahmed-senjer-519207168
Ain Shams University,"Bachelor's degree of Computer Science, Computer Science",2015 - 2019,ahmed-shaarawy-1982ab145
Zewail City of Science and Technology,"Bachelor of Engineering (B.E.), Communication and information engineering",2015 - 2020,ahmed-wael-3b61a0111
Udacity,"Machine Learning Nano Degree, Machine Learning",2018 - 2019,ahmed-wael-3b61a0111
freeCodeCamp,"Full Stack Web Development Certification, Computer Software Engineering",2017 - 2018,ahmed-wael-3b61a0111
Delta University for Science and Technology,2018 - 2023,,ahmed-waleed-79111a224
Tanta University,"Bachelor of Applied Science - BASc, engineering",2016 - 2021,ahmed-wasfey-sleem
Misr University for Science and Technology,"Bachelor of Science - BS, Information Technology",2013 - 2017,ahmed-younis-57208a150
"Arab Academy for Science, Technology and Maritime Transport","bachelors of computer science, Computer Software Engineering",Sep 2013 - Jun 2017,ahmed-yousry12
Fci Cairo University,Computer Science,2013 - 2017,ahmed-youssef-32781713a
Information Technology Institute (ITI),"Professional 9 month Diploma, Open Source Track, Cloud platform development",Oct 2020 - Jul 2021,ahmed-zakaria-20184a146
Modern Sciences and Arts University,"Bachelor of Engineering - BE , Computer Engineering",2015 - 2020,ahmed-zakaria-20184a146
University of Greenwich,Bachelor of Engineering - BE,,ahmed-zakaria-20184a146
Helwan University Cairo,"Bachelor of Computer Science (BCS), Software Engineering",2014 - 2018,ahmedabdallahnasr
Ain Shams University,"Bachelor's degree, Computer Science",2017 - 2021,ahmedabuamra
6th October High School,Mathematics,2014 - 2017,ahmedabuamra
Cairo University,"Bachelor of Computer and Communiation Engineering, Computer Engineering",2015 - 2020,ahmedashraf97
Maadi Canal Language Schools,High School Diploma,2015,ahmedashraf97
Modern Academy Maadi,"Bachelor's degree, Computer Science",2011 - 2015,ahmedelkhaberi
Mansoura University,"Bachelor's degree, Computer Engineering",2012 - 2017,ahmedeltaweel
Misr International University,"Bachelor of Science - BS, Computer Science",2013 - 2017,ahmedessam-12
Orouba Language Schools,"Thanawia Amma, Mathematical Science",2002 - 2013,ahmedessam-12
Nile University,"Master, Information Technology",2011 - 2015,ahmedfathykhalid
Cairo University,"Bachelor of Science (BSc), Systems and Biomedical Engineering",2005 - 2010,ahmedfathykhalid
Future Academy - Higher Future Institute For Specialized Technological Studies,"passable, programming languages",2002 - 2006,ahmedfrontend
Al-khedawia,"Bachelor of Education (BEd), High school",1999 - 2002,ahmedfrontend
Cairo University,"Bachelor's degree, Computer Engineering",2015 - 2020,ahmedhamed2020
Information Technology Institute (ITI),"Postgraduate Degree, Computer Software Engineering",2018 - 2019,ahmedhemaz
Alexandria University,"Bachelor of Engineering - BE, Electromechanical Technology/Electromechanical Engineering Technology",2011 - 2017,ahmedhemaz
Ain Shams University,"Good, Computer Sciences",2004 - 2008,ahmedhussam
Mansoura University,"Bachelor's degree , Faculty of Engineering - Computer &amp; Systems engineering",2014 - 2019,ahmedkhames
"Faculty of Engineering, Zagazig University","Bachelor’s Degree, Computer Engineering",2008 - 2013,ahmedmabrouck
El Nagah High School,"High School, Physical Sciences",2005 - 2008,ahmedmabrouck
Cairo University,"Bachelor's degree, Computer Engineering",2017 - 2022,ahmedmks
Modern University for Technology &amp; Information - MTI,2016 - 2020,,ahmedmuti
‏‎Faculty of Computers and Artificial Intelligence,,,ahmedmuti
Alexandria University,"Bachelor's degree, Computer and Systems Engineering",2015 - 2020,ahmednasser23
25januarySecondary School,Mathematics,2012 - 2015,ahmednasser23
Faculty of Science - Helwan University,"Bachelor of Applied Science (B.A.Sc.), Physics",2007 - 2011,ahmednmahran
Hoda Shaarawy Experimental Language School,"General Secondary, Mathematics-Science",1994 - 2007,ahmednmahran
Cairo University,"Bachelor of Science - BS, Computer Engineering",2015 - 2020,ahmedosama9777
Information Technology Institute (ITI),"9- Month - Professional Diploma, Mobile Application Development",2019 - 2020,ahmedramzy1795
Department of Computer and Information Sciences at Towson University,Mobile Application Development,2013 - 2017,ahmedramzy1795
"Arab Academy for Science, Technology and Maritime Transport","Bachelor's degree, Computer Science",2013 - 2018,ahmedshalaby96
The German University in Cairo,"Bachelor's degree, Computer Engineering",2016 - 2021,ahmedtremo
Rowad College,High School Diploma,Jul 2016,ahmedtremo
Arab Open University,"Bachelor’s Degree, Computer Programming",2014 - 2017,ahmedyassernosseir
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2015 - 2020,ahmibr68
Georgia Institute of Technology,"Master of Science - MS, Computer Science",Aug 2022,aielawady
Information Technology Institute (ITI),"Professional Diploma, Mechatronics",2018 - 2019,aielawady
Mansoura University,"Bachelor of Science - BS, Mechanical Engineering",2013 - 2018,aielawady
Cairo University,"Bachelor of Engineering - BE, Biomedical/Medical Engineering",2016 - 2021,akabdelrahman
Sarh Primpary Schools-S.P.S.,"High Scool, High School",2002 - 2016,akabdelrahman
CIC - Canadian International College,"Bachelor's degree, Computer Science",2019 - 2023,alaa-mady-7a8aa51a8
"Arab Academy for Science, Technology and Maritime Transport","Bachelor of Engineering, Mechatronics engineering specified in Software Development .",2017,alaa-magdy-25a666189
Patriarchal College,High Secondary Diploma [ 94 % ].,,alaa-magdy-25a666189
Alexandria University,"Bachelor of Engineering - BE, Computer Engineering",2012 - 2017,alaa-moaataz-3740308b
Udacity,"nanoDegree, Computer Software Engineering",Dec 2022 - Feb 2023,alaa-moustapha
Information Technology Institute (ITI),2017 - 2018,,alaa-moustapha
Alexandria University,"Bachelor's degree, computer science",2013 - 2017,alaa-moustapha
"Arab Academy for Science, Technology and Maritime Transport","Bachelor of Applied Science - BASc, Computer Engineering",Oct 2015 - Jul 2021,alaaelnagy
Cairo University,"Bachelor of Engineering - BE, Biomedical/Medical Engineering",2016 - Aug 2021,alaagamaall
Al Farouk Private School,High School,2002 - 2016,alaagamaall
South Valley University,"Bachelor's degree, Electrical and Electronics Engineering",2015 - 2020,ali-harby-4103b7169
Al-Azhar University,"Bachelor's degree, Arabic Language and Literature",Sep 2018 - Jun 2021,aliaa-attia
Information Technology Institute (ITI),"9-Month Professional Diploma, System Development track, software architect",Oct 2020 - Jun 2021,aliaa-yasser
Helwan University Cairo,"Bachelor's degree, Computer Science",2016 - 2020,aliaa-yasser
Helwan University Cairo,"Bachelor's Degree, Electronics Engineering and computer engineering",2013 - 2018,aliabdelaal
Cairo University,"Bachelor's degree, Electrical, Electronic and Communications Engineering Technology/Technician",2013 - 2018,alielsherbiny
Narmer language school,High School Diploma,2002 - 2013,alielsherbiny
Kafr El-Sheikh University,"Master of Engineering - MEng, Electrical and Electronics Engineering",2018 - 2023,alien0x
Coventry University,"Bachelor of Computer Science - BSc, Computer Science",Oct 2019 - May 2023,alimagedayad
Summits International School,International General Certificate of Secondary Education (IGCSE),2015 - 2018,alimagedayad
Global International School,SAT,2005 - 2014,alimagedayad
Cairo University,"Bachelor's degree, Computer Engineering",2016 - 2021,aly-ramzy-24450b179
Udacity,Artificial Intelligence,2020 - 2020,aly-ramzy-24450b179
Ain Shams University,"Bachelor's degree, Computer Science",2015 - 2019,aly-sabry-4b1a50185
Art Educaction,"Bachelor's Degree, Art/Art Studies, General",2008 - 2012,alyeldegwy
Hada'ek El-Maadi Experimental Language School,High School,1995 - 2007,alyeldegwy
Faculty Of Computer Science &amp; Information System Helwan University,Software Engineering,2013 - 2017,alyymagdy
Queen International School,1997 - 2013,,alyymagdy
The German University in Cairo,"Bachelor of Science BSc, Computer Science and Engineering",Oct 2017 - Jul 2022,aman-allah-rafat
Ulm University,"Bachelor Thesis, Computer Science and Psychology",Apr 2021 - Sep 2021,aman-allah-rafat
Al-Shaheed Mohamed Karim Ahmed Deif Secondary School,High School Diploma,Aug 2015 - Jul 2017,aman-allah-rafat
faculty of computers and information cairo universty,"Bachelor's degree, Information Technology",2014 - 2018,amina-gaber-088026a5
Information Technology Institute (ITI),Computer Science,2015 - 2016,amir-attya
Ain Shams University,"Bachelor Degree, Computer and Information science",2009 - 2013,amir-attya
Marg Secondary School,2005 - 2008,,amir-attya
Cairo University,"Bachelor's Degree, Computer Science",2013 - 2017,amira-ashmawy-247252a1
Ain Shams University,"Bachelor's degree, Computer Science",2013 - 2017,amira-atef-7a90a5156
The German University in Cairo,"Bachelor's degree, Computer Software Engineering",2014 - 2019,amira-khaled-mokhtar
Purdue University,"Master's degree, Computer Science",2018 - 2021,amira-mamoun-395b4862
"Faculty of Engineering, Cairo University","Bachelor of Engineering - BE, Computer Engineering",2013 - 2016,amira-mamoun-395b4862
Ain Shams University,"Good, Engineering-Communications and Electronics",2001 - 2006,amira-nagi-6b705235
Information Technology Institute (ITI),"9 months diploma, Data Science",2020 - 2021,amiramamdouh
Ain Shams University,"Bachelor's degree, energy and renewable energy engineer",2014 - 2019,amiramamdouh
Information Technology Institute (ITI),"Associate's degree, Electrical, Electronics and Communications Engineering",Aug 2020 - Aug 2021,amiramohkamal
Suez Canal University,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",2015 - 2020,amiramohkamal
Mansoura University,"Bachelor's degree, Computer Engineering",2008 - 2013,aml-esmail-42a8b611b
Mansoura University,"Bachelor of Engineering, Computers &amp; Systems Department",2008 - 2013,aml-esmail-42a8b611b
Cairo University,"Bachelor of Engineering - BE, Computer Engineering",2018 - 2023,ammar21
Misr University for Science and Technology,"Bachelor's degree, Computer Science",2014 - 2018,amoharib
Udacity,"Nano degree, Advanced Cloud Devops",Jan 2023 - Mar 2023,amr-alaaeldin-ismail
Faculty of Engineering Alexandria University,"Bachelor’s Degree, Computer Engineering",2009 - 2013,amr-alaaeldin-ismail
Cairo University,"Bachelor, Computer Science",Sep 2016 - Jul 2021,amr-anwr-aa92211b2
"Faculty of Engineering, Ain Shams University","Bachelor's degree, Computers and Systems",2000 - 2005,amr-el-agamy-45a72a2
"Arab Academy for Science, Technology and Maritime Transport","Post Graduate Diploma, Computer Engineering",2008 - 2010,amr-el-agamy-45a72a2
Information Technology Institute,"Post Graduate Diploma, Computer Networks",2005 - 2006,amr-el-agamy-45a72a2
Ain Shams University,"Bachelor's degree, Computer Software Engineering",2016 - 2021,amr-elsersy-a29484198
Udacity,2020 - 2020,,amr-elsersy-a29484198
University of Ottawa,"Master of Engineering - MEng, Artificial Intelligence",Jun 2021 - Jul 2022,amr-elsherbiny-769092138
"Arab Academy for Science, Technology and Maritime Transport","Bachelor of Science - BS, Computer Engineering",2015 - 2020,amr-elsherbiny-769092138
Alexandria University,"Master of Science (MSc), Computer Engineering",2014 - 2016,amr-elyamany-0158a26b
Alexandria University,"Bachelor of Science (BS), Computer Engineering",2008 - 2013,amr-elyamany-0158a26b
Victory College,"High School, Mathematics",1997 - 2008,amr-elyamany-0158a26b
The German University in Cairo,"Bachelor's degree, Computer Engineering",2017 - 2021,amr-galaleldin-2011
Ain Shams University,"Bachelor's degree, Computers and Systems Engineering",Sep 2017 - Jul 2022,amr-khaled-632427199
Ain Shams University,"Bachelor's degree, Electronics and Electrical Communications Engineering",2017 - 2022,amr-m-abdelgawad
Cairo University,"Bachelor’s Degree, Computer and Artificial Intelligence",2014 - 2018,amr-magdy-095007131
Ain Shams University,"Bachelor's degree, Computer Science",2014 - 2018,amr-mohamed-foad
Information Technology Institute (ITI),"Internship, Linux Administration",Dec 2021 - Feb 2022,amr-muhammed
Pharos University in Alexandria,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",2015 - 2020,amr-muhammed
KTH Royal Institute of Technology,"Bachelor of Engineering - BE, Electrical, Electronics and Communications Engineering",Sep 2015 - Jun 2020,amr-muhammed
Cairo University,"Bachelor, Computer Engineering",2002 - 2007,amrelrouby
Faculty of Engineering,"Bachelor of Computer Engineering, Computer Engineering",2002 - 2007,amrelrouby
Universität Passau,"Master of Science - MS, Computer Science",Apr 2023 - Mar 2025,amrmustafa97
Alexandria University,"Bachelor of Science - BS, Computer and Communications Engineering",2016 - 2021,amrmustafa97
"Victoria College, Alexandria",Thanaweya Amma,2015 - 2016,amrmustafa97
Alexandria University,"Student at, Computer and Communication Department.",2016 - 2021,amroakmal
Cairo University,"Bachelor's degree, Computer Science",2015 - 2019,amrtarekmo
Mostafa Kamel School,High School,,amrtarekmo
Cairo University,"Bachelor’s Degree, Computer Engineering",2013 - 2018,antoun-wagdy-025443b6
