User,CompanyUrl,Company,Title,EmploymentType,From,To,Duration,Location,title_tag
abanoubanis,https://www.linkedin.com/company/139006/,"ARPU
                                                                                Telecommunication Services
                                                                                (ArpuPlus)",software development specialist,,Apr 2020,Feb 2022,23.0,"Giza, Al Jizah, Egypt",software
abanoubanis,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),embedded system trainee,Internship,Apr 2019,Jul 2019,4.0,"Giza, Al Jizah, Egypt",Embedded
abanoubanis,UNKNOWN,Egypt Air force,first lieutenant and software engineer,Full-time,May 2017,Apr 2019,24.0,"Cairo, Egypt",software
abanoubanis,https://www.linkedin.com/company/18497335/,INDOTS,former co-founder and embedded systems engineer,Self-employed,Aug 2016,Nov 2017,16.0,"Cairo Governorate, Egypt",Embedded
abdallah-95,https://www.linkedin.com/company/10046/,ITWorx,senior software engineer,Full-time,Jan 2022,Present,16.0,,software
abdallah-95,https://www.linkedin.com/company/10046/,ITWorx,software engineer,,Dec 2018,Dec 2021,37.0,"Cairo Governorate, Egypt",software
abdallah-95,https://www.linkedin.com/company/10046/,ITWorx,fast track program intern,,Aug 2018,Nov 2018,4.0,"Cairo Governorate, Egypt",internship
abdallah-95,https://www.linkedin.com/company/737828/,"ACS, Arabian Computer Services",software developer (java),,Jul 2018,,1.0,"Cairo Governorate, Egypt",software
abdallah-95,https://www.linkedin.com/company/16242312/,EGPC,it support intern,,Jul 2016,,1.0,,IT
abdallah-mahmoud-6b08b914b,https://www.linkedin.com/company/2669/,Valeo,junior embedded software engineer,Full-time,Apr 2022,Present,13.0,"Cairo, Egypt · On-site",Embedded
abdallah-mahmoud-6b08b914b,https://www.linkedin.com/company/17935785/,"EGYCET ""الشركة المصرية للتدريب الهندسى""​",automation engineer,Internship,Jul 2020,Apr 2022,22.0,Egypt,QA
abdallah-mahmoud-6b08b914b,https://www.linkedin.com/company/1224763/,"GASCO, National Gas &amp; Industrialization Company",automation engineer,Internship,Oct 2019,Apr 2022,31.0,Egypt,QA
abdallah-mahmoud-6b08b914b,https://www.linkedin.com/company/1026863/,EZZSTEEL,internship trainee,Full-time,Jul 2018,Aug 2018,2.0,Egypt,internship
abdallah-rashad-28973a218,https://www.linkedin.com/company/209215/,Si-Vision,embedded software engineer,Full-time,Feb 2022,Present,15.0,"Cairo, Egypt",Embedded
abdallah-rashad-28973a218,UNKNOWN,Realme Egypt,software test engineer,Full-time,Oct 2021,Jan 2022,4.0,"Cairo, Egypt",QA
abdallahabusedo,https://www.linkedin.com/company/71224332/,intella,frontend developer,Full-time,Sep 2022,Present,8.0,"Cairo, Egypt",front-end
abdallahabusedo,https://www.linkedin.com/company/27001451/,LearnCity,software engineer,Full-time,Jun 2022,Aug 2022,3.0,Egypt,software
abdallahamdy,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),cyber security associate trainee,Internship,Mar 2023,Present,2.0,,security
abdallahamdy,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),.net web development trainee,Internship,Aug 2020,Sep 2020,2.0,,full-stack
abdallasoliman,https://www.linkedin.com/company/3488/,IDEMIA,software engineer,Full-time,Jan 2022,Present,16.0,Egypt,software
abdallasoliman,https://www.linkedin.com/company/548158/,Integrated Solutions For Ports (ISFP),java software engineer,,Jul 2018,Jan 2022,43.0,,software
abdeladl-shaheen-a313b8164,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),full-stack developer,Full-time,Nov 2021,Present,18.0,الدقهلية المنصورة مصر,full-stack
abdelbaseer-shaheen-b078721a2,https://www.linkedin.com/company/777868/,Etisalat Egypt,big data analyst,Full-time,Jul 2022,Present,10.0,Hybrid,data
abdelbaseer-shaheen-b078721a2,https://www.linkedin.com/company/20314737/,Huawei ICT Academy-Egypt,artificial intelligence intern,Internship,Jul 2021,Present,22.0,,AI
abdelbaseer-shaheen-b078721a2,https://www.linkedin.com/company/20314737/,Huawei ICT Academy-Egypt,big data engineer,Freelance,Jul 2021,Present,22.0,,data
abdelbaseer-shaheen-b078721a2,https://www.linkedin.com/company/1630214/,Andalusia Group for Medical Services,data analyst,Full-time,Jun 2021,Jul 2022,14.0,مصر,data
abdelbaseer-shaheen-b078721a2,https://www.linkedin.com/company/3117/,Lionbridge,data scientist,Part-time,Apr 2020,Sep 2021,18.0,,data
abdelbaseer-shaheen-b078721a2,https://www.linkedin.com/company/20314737/,Huawei ICT Academy-Egypt,trainee,,Nov 2020,Mar 2021,5.0,,internship
abdelbaseer-shaheen-b078721a2,https://www.linkedin.com/company/20314737/,Huawei ICT Academy-Egypt,trainee,,Sep 2020,Nov 2020,3.0,,internship
abdelhakeem,https://www.linkedin.com/company/79415063/,Atomica AI,software engineer,Full-time,Nov 2022,Present,6.0,Egypt · Hybrid,software
abdelhakeem,https://www.linkedin.com/company/71259910/,MLH Fellowship,open source fellow,Internship,May 2022,Aug 2022,4.0,Remote,
abdelhakeem,https://www.linkedin.com/company/19184331/,Google Summer of Code,student developer at google summer of code with neovim,Internship,Jul 2019,Sep 2019,3.0,,IT
abdelhakeem,https://www.linkedin.com/company/4827017/,Upwork,front-end developer,Freelance,Jul 2017,Jul 2019,25.0,Remote,front-end
abdelhameed-hassan,https://www.linkedin.com/company/18205566/,adam.ai,senior frontend engineer,Full-time,Sep 2022,Present,8.0,San Francisco Bay Area,front-end
abdelhameed-hassan,UNKNOWN,Nomo,frontend engineer,Full-time,Jan 2022,Sep 2022,9.0,"Cairo, Egypt",front-end
abdelhameed-hassan,https://www.linkedin.com/company/74521146/,wexcute,frontend engineer,Full-time,Jul 2021,Jan 2022,7.0,Estonia,front-end
abdelhameed-hassan,https://www.linkedin.com/company/18220062/,Baddel,software engineer,Full-time,Oct 2020,Jul 2021,10.0,"Cairo, Egypt",software
abdelkader-zayed-7959b2a3,https://www.linkedin.com/company/12996039/,Entlq,back end developer,,Sep 2018,Present,56.0,Mansoura,back-end
abdelkader-zayed-7959b2a3,https://www.linkedin.com/company/18346038/,Tqnee,senior software developer team lead,,Jul 2017,Aug 2018,14.0,Mansoura,Lead
abdelkader-zayed-7959b2a3,UNKNOWN,ILIUZ Consulting &amp; Manpower,php developer,,Feb 2016,Jun 2017,17.0,"UFA, Bashkortostan, Russia",back-end
abdelkader-zayed-7959b2a3,https://www.linkedin.com/company/5250001/,Alqemam,software developer,,Sep 2014,Sep 2015,13.0,Mansoura,software
abdelkader-zayed-7959b2a3,UNKNOWN,Sout Al Gamahir newspaper,web developer,,May 2014,Aug 2014,4.0,,full-stack
abdelmoez-elsaadany,UNKNOWN,Danu,data scientist,Full-time,Dec 2022,Present,5.0,,data
abdelmoez-elsaadany,UNKNOWN,Danu,data scientist,Internship,Aug 2022,Nov 2022,4.0,,data
abdelmoez-elsaadany,https://www.linkedin.com/company/4827017/,Upwork,data analysis and machine learning engineer,Freelance,Mar 2021,Present,26.0,Egypt,data
abdelmoez-elsaadany,https://www.linkedin.com/company/2485440/,Zewail City of Science and Technology,machine learning intern,Internship,Oct 2021,Feb 2022,5.0,,AI
abdelmoez-elsaadany,https://www.linkedin.com/company/80431815/,Moviette,machine learning specialist,Freelance,Aug 2021,Jan 2022,6.0,,AI
abdelmotey,https://www.linkedin.com/company/10809581/,Raisa Energy LLC,frontend team lead,,Aug 2022,Present,9.0,"Qesm El Maadi, Cairo, Egypt",front-end
abdelmotey,https://www.linkedin.com/company/10809581/,Raisa Energy LLC,senior software engineer,,Jan 2020,Aug 2022,32.0,,software
abdelmotey,https://www.linkedin.com/company/1217/,Vodafone,senior frontend developer,,Dec 2017,Jan 2020,26.0,"Maadi, Cairo Governorate, Egypt",front-end
abdelmotey,https://www.linkedin.com/company/313169/,Khatib &amp; Alami,software developer,,Jul 2017,Dec 2017,6.0,Egypt,software
abdelmotey,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),civil engineering informatics trainee,,Oct 2016,Jul 2017,10.0,"Giza Governorate, Egypt",internship
abdelmotey,https://www.linkedin.com/company/2424923/,EGEC,cad/revit custom software developer,,May 2016,Jan 2017,9.0,Egypt,IT
abdelmotey,https://www.linkedin.com/company/2424923/,EGEC,quality manager,,May 2016,Nov 2016,7.0,Egypt,Lead
abdelmotey,https://www.linkedin.com/company/2424923/,EGEC,urban and landscape architect,,Jul 2014,Oct 2016,28.0,Egypt,IT
abdelnazir,UNKNOWN,Banque Misr Digital Factory,front end lead,,Nov 2021,Present,18.0,,front-end
abdelnazir,UNKNOWN,Banque Misr Digital Factory,senior frontend developer,,May 2021,Dec 2021,8.0,,front-end
abdelnazir,https://www.linkedin.com/company/41607/,iHorizons,senior frontend developer,Full-time,Oct 2015,Apr 2021,67.0,Cairo,front-end
abdelnazir,UNKNOWN,Alhasa Municipality,senior frontend developer,Contract,Jan 2016,Feb 2021,62.0,"Ahsa, Eastern, Saudi Arabia",front-end
abdelnazir,UNKNOWN,Freelance,"senior ui / ux developer , cms developer",,Jan 2008,Nov 2015,95.0,,UI/UX
abdelnazir,https://www.linkedin.com/company/2586096/,Vytru,senior front-end developer,Full-time,Feb 2015,Oct 2015,9.0,Mansoura,front-end
abdelrahman-akl,https://www.linkedin.com/company/549829/,El Sewedy Electrometer Group,software quality engineer,Full-time,Oct 2022,Present,7.0,"Giza, Al Jizah, Egypt · On-site",IT
abdelrahman-akl,https://www.linkedin.com/company/43334208/,egFWD,student [software quality engineer] - professional track,Internship,Dec 2022,Feb 2023,3.0,,IT
abdelrahman-akl,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),student,,Apr 2022,Aug 2022,5.0,"Al Minya, Egypt",student
abdelrahman-akl,UNKNOWN,Modern WAN Technology,it engineer,Full-time,Mar 2021,Apr 2022,14.0,,IT
abdelrahman-akl,UNKNOWN,El-Sama Engineering Works.,electrical site engineer,Full-time,Sep 2020,Jan 2021,5.0,,IT
abdelrahman-ellethy-b840b3153,https://www.linkedin.com/company/18899346/,ACME SAICO - Integrated Engineering Systems -(IES),junior software tester,Full-time,Jun 2022,Present,11.0,"Cairo, Egypt",QA
abdelrahman-ellethy-b840b3153,https://www.linkedin.com/company/2669/,Valeo,valeo testing academy,Apprenticeship,Nov 2022,,1.0,Egypt,QA
abdelrahman-ellethy-b840b3153,https://www.linkedin.com/company/23213/,Concentrix,customer service representative,Full-time,Apr 2022,May 2022,2.0,Egypt,
abdelrahman-hammam-7b090b9b,https://www.linkedin.com/company/4827017/,Upwork,software engineer iv,Full-time,Jan 2023,Present,4.0,Remote,software
abdelrahman-hammam-7b090b9b,https://www.linkedin.com/company/5351527/,Andela,senior software engineer,Full-time,Feb 2021,Present,27.0,,software
abdelrahman-hammam-7b090b9b,https://www.linkedin.com/company/1382/,Goldman Sachs,senior data engineer,Contract,Jul 2021,Dec 2022,18.0,Remote,data
abdelrahman-hammam-7b090b9b,https://www.linkedin.com/company/117429/,IST Networks,senior r&amp;d software engineer,,Mar 2019,Jul 2021,29.0,,software
abdelrahman-hammam-7b090b9b,https://www.linkedin.com/company/27167031/,Orange Labs Egypt,software engineer,,Oct 2017,Feb 2019,17.0,,software
abdelrahman-hammam-7b090b9b,https://www.linkedin.com/company/27167031/,Orange Labs Egypt,software engineer intern,,Aug 2017,Sep 2017,2.0,"Cairo Governorate, Egypt",software
abdelrahman-kh-fouad,https://www.linkedin.com/company/81066/,EXALT Technologies Ltd.,software engineer,Full-time,Jan 2023,Present,4.0,Egypt · Hybrid,software
abdelrahman-kh-fouad,https://www.linkedin.com/company/19184331/,Google Summer of Code,student developer | lpython compiler,Internship,May 2022,Sep 2022,5.0,,software
abdelrahman-kh-fouad,https://www.linkedin.com/company/69502515/,Codescalers Egypt,software engineer intern,Internship,Aug 2021,Sep 2021,2.0,"Cairo, Egypt",software
abdelrahman-mamdouh-60b318157,https://www.linkedin.com/company/28122783/,Synapse Analytics,data scientist,Part-time,Oct 2021,Present,19.0,,data
abdelrahman-mamdouh-60b318157,https://www.linkedin.com/company/28122783/,Synapse Analytics,data science intern,Internship,Jul 2021,Sep 2021,3.0,,data
abdelrahman-mamdouh-60b318157,https://www.linkedin.com/company/861427/,Fiverr,data analyst,Freelance,Sep 2020,Dec 2020,4.0,,data
abdelrahman-mamdouh-60b318157,https://www.linkedin.com/company/622789/,MCS Free Zone,computer vision intern,Internship,Aug 2020,Sep 2020,2.0,,AI
abdelrahman-mamdouh-60b318157,UNKNOWN,Engineering Office for Integrated Projects (EOIP),embedded software intern,Internship,Jul 2020,Aug 2020,2.0,,Embedded
abdelrahman-mohamedd,https://www.linkedin.com/company/294614/,Information Technology Institute (ITI),full stack developer (mearn),,Nov 2022,Present,6.0,,full-stack
abdelrahman-mohamedd,https://www.linkedin.com/company/69546753/,SYNERGY GATES,software engineer,Full-time,Mar 2021,Oct 2021,8.0,"Cairo, Egypt",software
abdelrahman-mohamedd,https://www.linkedin.com/company/772332/,Faculty of Computers and Information - Cairo University,graduate,,Sep 2017,Aug 2021,48.0,"Cairo Governorate, Egypt",
abdelrahman-mohamedd,https://www.linkedin.com/company/3523821/,SCCI-CU,participant,Seasonal,Oct 2019,Jul 2020,10.0,"Cairo, Egypt",
abdelrahman-mohamedd,https://www.linkedin.com/company/3014/,Huawei,trainee,,Aug 2019,Oct 2019,3.0,"Cairo Governorate, Egypt",internship
abdelrahman-osama-074758246,https://www.linkedin.com/company/10047447/,Modern Telecom Systems (MTS IT) Information Technology,junior software test engineer,Full-time,Feb 2023,Present,3.0,"Qesm El Maadi, Cairo, Egypt · On-site",QA
abdelrahman-osama-074758246,UNKNOWN,Freelance,junior software tester,,Jul 2021,Present,22.0,"Giza, Al Jizah, Egypt",QA
abdelrhman-basyoni,https://www.linkedin.com/company/76080475/,Oscar Limited,full stack engineer,Full-time,Feb 2023,Present,3.0,Vereinigte Arabische Emirate,full-stack
abdelrhman-basyoni,https://www.linkedin.com/company/79542875/,"Shelter
                                                                                Technology",software engineer,,Feb 2022,Apr 2023,15.0,,software
abdelrhman-basyoni,https://www.linkedin.com/company/79542875/,"Shelter
                                                                                Technology",back end developer,,Aug 2021,Apr 2023,21.0,"Cairo, Cairo, Egypt",back-end
abdelrhman-basyoni,https://www.linkedin.com/company/18554817/,HOOD,full-stack python developer,Full-time,Feb 2021,Sep 2021,8.0,,full-stack
abdelrhman-basyoni,https://www.linkedin.com/company/672338/,"Freelance,
                                                                                self-employed",web development engineer,,Jun 2020,Jun 2021,13.0,,full-stack
abdelrhman-basyoni,https://www.linkedin.com/company/672338/,"Freelance,
                                                                                self-employed",embedded system engineer,,Jan 2020,Jun 2020,6.0,,Embedded
abdelrhman-elsaadi-41773070,https://www.linkedin.com/company/2413087/,nWeave,team lead,Full-time,Feb 2023,Present,3.0,"Alexandria, Egypt · On-site",Lead
abdelrhman-elsaadi-41773070,https://www.linkedin.com/company/4827017/,Upwork,freelance web developer,Freelance,Sep 2015,Present,92.0,"Alexandria, Egypt",full-stack
abdelrhman-elsaadi-41773070,https://www.linkedin.com/company/1002265/,iamproperty &amp; iamsold,software developer,Full-time,Nov 2021,Feb 2023,16.0,United Kingdom,software
abdelrhman-elsaadi-41773070,https://www.linkedin.com/company/2413087/,nWeave,software engineer,Full-time,Apr 2019,Dec 2021,33.0,"Alexandria, Egypt",software
abdelrhman-mohamed-ashraf-7bb43410b,https://www.linkedin.com/company/845465/,Fixed Solutions,senior cyber security engineer,,Sep 2022,Present,8.0,,security
abdelrhman-mohamed-ashraf-7bb43410b,https://www.linkedin.com/company/845465/,Fixed Solutions,security engineer l2,,Apr 2022,Present,13.0,,security
abdelrhman-mohamed-ashraf-7bb43410b,https://www.linkedin.com/company/74489425/,معهد شبكة آباد للتدريب Abadnet,cyber security instructor,Full-time,Oct 2021,Apr 2022,7.0,Saudi Arabia · Remote,security
abdelrhman-mohamed-ashraf-7bb43410b,UNKNOWN,EL2labs IoT consultant company,.net developer,Full-time,Sep 2018,Apr 2019,8.0,"Nasr City Cairo Governorate, Egypt",software
abdelrhman-mohamed-ashraf-7bb43410b,https://www.linkedin.com/company/15805726/,National Telecommunication Institute (NTI),cyber security trainee,Internship,Sep 2017,Mar 2018,7.0,"Cairo, Egypt",security
abdelrhman-mostafa-087808168,https://www.linkedin.com/company/1862288/,Coformatique,back end developer,Full-time,May 2019,Present,48.0,Egypt,back-end
abdelrhman-mostafa-087808168,https://www.linkedin.com/company/1217/,Vodafone,senior customer care representative premium,,Jan 2016,Dec 2017,24.0,,
abdelrhman-mostafa-087808168,https://www.linkedin.com/company/1217/,Vodafone,high value customer care representative,,Dec 2014,Dec 2015,13.0,,
abdelrhmanafifi,https://www.linkedin.com/company/28423178/,Siemens Digital Industries Software,embedded software engineer,Full-time,Oct 2021,Present,19.0,"Cairo, Egypt · Hybrid",Embedded
abdelrhmanafifi,https://www.linkedin.com/company/2697/,Mentor Graphics,embedded software engineer,Internship,Mar 2021,Sep 2021,7.0,"Cairo, Egypt",Embedded
abdelrhmanafifi,https://www.linkedin.com/company/2867344/,AMIT Learning,embedded systems trainee,,Jul 2020,Nov 2020,5.0,,Embedded
abdofawzi5,https://www.linkedin.com/company/28610383/,XPay,software development consultant,Freelance,Dec 2022,Present,5.0,"Cairo, Egypt · Remote",software
abdofawzi5,https://www.linkedin.com/company/43285160/,Geek Developers,founder,,Dec 2019,Present,41.0,,
abdofawzi5,https://www.linkedin.com/company/69565615/,Amenli,tech lead,Full-time,Dec 2021,Dec 2022,13.0,Hybrid,Lead
abdofawzi5,https://www.linkedin.com/company/13038074/,Cartona,senior software engineer,Full-time,Sep 2020,Nov 2021,15.0,Egypt · Remote,software
abdofawzi5,https://www.linkedin.com/company/5351527/,Andela,senior software engineer,Full-time,Jun 2019,Oct 2020,17.0,United States · Remote,software
abdolrhman,https://www.linkedin.com/company/18125/,Cvent,senior software engineer,Contract,Nov 2021,Present,18.0,United States,software
abdolrhman,https://www.linkedin.com/company/5351527/,Andela,technical screener,Contract,Jan 2021,Present,28.0,United States,
abdolrhman,https://www.linkedin.com/company/72693227/,PRODUCER -&nbsp;Maker Machina,senior software engineering,Contract,Dec 2022,Present,5.0,Switzerland · Remote,software
abdolrhman,https://www.linkedin.com/company/70911775/,Column Inc,senior software engineer,Contract,Jun 2021,Jul 2022,14.0,United States,software
abdolrhman,https://www.linkedin.com/company/607945/,HedeDanmark a/s,technical lead,Contract,Apr 2020,Oct 2021,19.0,Denmark,Lead
