name,logo,banner,description,tagLine,followerCount,website,domain,location,companyAddress,phone,industry,companySize,headquarters,founded,mainCompanyID,linkedinID,salesNavigatorLink,employeesOnLinkedIn,companyName,query,timestamp,companyUrl,specialties,error,isClaimable
ItsaCheckmate,https://media.licdn.com/dms/image/C4D0BAQHxGwBrD3WRzA/company-logo_200_200/0/1559146769617?e=1691625600&v=beta&t=Qg3kN3qQVXYwJ7aSBBThO8LJBVpq0-8gak6-lI-68Tk,https://media.licdn.com/dms/image/D561BAQGfefr07XwYLg/company-background_10000/0/1679416380624?e=1683860400&v=beta&t=kL2EGJyYIZibd0ytD_8jo1e-9R9LyLHOh7xccWy8gaw,"Our Strength In Numbers:

─ 21K+ Live locations
─ 12M+ Transactions per month
─ 200M+ Orders processed to date
─ $5B+ Order value processed
─ 50+ POS Integrations
─ 100+ 3rd Party ordering platform integrations

What We Do:

ItsaCheckmate provides a comprehensive two-way integration solution that not only connects your POS with the evolving on-demand world but also equips you with powerful monitoring and reporting tools to drive maximum revenue, profitability, and efficiency.

Whether you are an independent restaurant or a global chain, expect the industry’s fastest onboarding and query resolution times. We’ll focus on the backend while you focus on guest experiences!

To enable rapid deployment and customization at scale, we have deep-rooted partnerships with over 150 point-of-sale (POS) and third-party marketplaces (delivery platforms) including DoorDash, Uber Eats, Grubhub, ASAP, EZcater, & ChowNow.

ItsaCheckmate proudly serves true “mom-and-pops” to major global brands like Wendy’s, Arby’s, Sonic, and Buffalo Wild Wings. Our aim is to make technology readily accessible and affordable for restaurants of all sizes.
",Menus. Orders. Simplified. ,18436.0,https://itsacheckmate.com/,https://itsacheckmate.com,New York,"New York, 10036, US",(888) 248-7022,Restaurants,201-500 employees,"New York, New York",2016.0,10590015.0,10590015,https://www.linkedin.com/sales/company/10590015/,211.0,ItsaCheckmate,https://www.linkedin.com/company/10590015/,2023-05-05T02:01:40.052Z,https://www.linkedin.com/company/itsacheckmate/,"restaurant technology, POS integrations, account reconciliation, menu management, third party delivery, online delivery, POS-ordering platform integrations, streamlining online delivery, food delivery, and Ordering Platform Integrations",,
Upwork,https://media.licdn.com/dms/image/C4E0BAQFAvA55uI9RQQ/company-logo_200_200/0/1620158724382?e=1691625600&v=beta&t=fCGWfWKxO_Zpiova6lEeEWUq6fwWQm7XxKjvWB1gqzE,https://media.licdn.com/dms/image/D561BAQE6rNuQTAHvcQ/company-background_10000/0/1664370558086?e=1683860400&v=beta&t=4uTiPQMWyvPg0_Jws5it5LzaXDsGVM2bRTLLpkF0dpA,"Upwork is the world’s work marketplace. We serve everyone from one-person startups to over 30% of the Fortune 100 with a powerful, trust-driven platform that enables companies and talent to work together in new ways that unlock their potential. Our talent community earned over $3.3 billion on Upwork in 2021 across more than 10,000 skills in categories including website & app development, creative & design, customer support, finance & accounting, consulting, and operations. ",The world’s work marketplace.,2127497.0,https://www.upwork.com/,https://upwork.com,San Francisco,"475 Brannan St, San Francisco, 94107, US",,"Technology, Information and Internet","501-1,000 employees","San Francisco, California",2015.0,4827017.0,"4827017,5234240",https://www.linkedin.com/sales/company/4827017/,96222.0,Upwork,https://www.linkedin.com/company/4827017/,2023-05-05T02:01:58.707Z,https://www.linkedin.com/company/upwork/,freelancers and agencies,,
Robusta Studio,https://media.licdn.com/dms/image/C4D0BAQF0WIMp7TQXfw/company-logo_200_200/0/1678028985702?e=1691625600&v=beta&t=wEn1SCnHdVP0M_7EHqv8l1QKBf4cGRVNA7WO9fxCunU,https://media.licdn.com/dms/image/D4D1BAQGvsBSpwz3nXw/company-background_10000/0/1679568892738?e=1683860400&v=beta&t=q6yxVV8tWAuodv-hkf5FyP50mY4Xic38LGmKekCElA8,"Robusta is a tech agency working with a diverse client base across different sectors & industries on implementing digital transformation programs. Engagements are typically focused on digitization of existing operations & processes and/or activation of digital customer engagement channels. With a team of 100+ tech and market consultants, robusta maintains an impactful footprint across EMEA and engages with its clients through its two key operations hubs in Egypt and Germany.","We harness technology to deliver tangible business growth.
— 
A company by Robusta Technology Group (RTG)",36639.0,https://robustastudio.com/,https://robustastudio.com,New Cairo,"Concord Plaza, S Teseen St., New Cairo, 11835, EG",,Information Services,51-200 employees,"New Cairo, Cairo",2007.0,623785.0,623785,https://www.linkedin.com/sales/company/623785/,118.0,Robusta Studio,https://www.linkedin.com/company/623785/,2023-05-05T02:02:18.249Z,https://www.linkedin.com/company/robusta-studio/,"E-Commerce Websites, Web Design, Graphic Design, Mobile App Development, Management Tools, E-Commerce Platforms, Web Applications, Mobile App Design, Web Development, Websites, Mobile Apps, UX Design, UI Design, and VR/AR",,
Go Plus for Logistical Services SAE,https://media.licdn.com/dms/image/C4D0BAQF2Nj9ngMH0yA/company-logo_200_200/0/1519944613845?e=1691625600&v=beta&t=kS2pozQjUcFJUcyvO1BZEReJY3-us16h7WzIVrlujL0,https://media.licdn.com/dms/image/C561BAQEgOQf0uHto_Q/company-background_10000/0/1568282384252?e=1683860400&v=beta&t=mU3LgM3Hq9Y7UMWtNkq9VkpcmZqjrmeorYU6RPTIX6c,"Established in early 2013 through experts in logistics & traffic solutions, GOPLUS is a fast-growing company offers a wide range of solutions and services with a special focus on logistical services.
With an eagle eye to become one of the major key players in the region, GOPLUS offers value added Vehicles inspection, Traffic support, RFID technology, Data Verification and Business Support services.
Supported by the extensive international background of its management team, GOPLUS provides innovative ways of incorporating technology combined with a unique service level and a highly professional team to serve our clients.",,2379.0,http://www.goplus-eg.com,goplus-eg.com,Cairo,"16 z Ahmed Abd El Aziz St, Taqssem El Lasilky , New Maadi , Cairo , Egypt , Cairo, 1 12411, EG",,"Transportation, Logistics, Supply Chain and Storage","501-1,000 employees","Cairo, 1",2014.0,11505149.0,11505149,https://www.linkedin.com/sales/company/11505149/,82.0,Go Plus for Logistical Services SAE,https://www.linkedin.com/company/11505149/,2023-05-05T02:02:37.110Z,https://www.linkedin.com/company/go-plus/,,,
AppsPro,https://media.licdn.com/dms/image/C4D0BAQHeQKWAdApZDA/company-logo_200_200/0/1636384757328?e=1691625600&v=beta&t=Q8zaXGkfbEMb6LUWDH513yKJAOJ6uglI0W10MQnRoOI,https://media.licdn.com/dms/image/C4D1BAQGsDblOuhNbfw/company-background_10000/0/1636283498047?e=1683860400&v=beta&t=2XS8q9jTQshpmcVH68KntjbF2ahHXRMjTkkp5qsiStM,"AppsPro,part of Accenture, has extensive experience integrating solutions with leading business applications including ERP (Enterprise Resource Planning), SCM (Supply Chain Management), CRM (Customer Relationship Management), EPM (Enterprise Performance Management), and BI (Business Intelligence) solutions.

Our Oracle practice provides the perfect mix of business expertise, Oracle knowledge, project management, and system procedures. We have the necessary expertise to meet our clients’ requirements, from business process mapping and gap analysis to architecture assessment and analysis, design, conversion and migration (both data & application), customizations, interfaces, extensions, third-party integration, knowledge transfer and user training",Deploying Innovate solutions to transform our customer’s businesses.,15514.0,http://www.appspro-me.com,appspro-me.com,Riyadh,"KSA, Riyadh,  11424, SA",,IT Services and IT Consulting,51-200 employees,,,553347.0,553347,https://www.linkedin.com/sales/company/553347/,334.0,AppsPro,https://www.linkedin.com/company/553347/,2023-05-05T02:02:55.615Z,https://www.linkedin.com/company/appspro/,Oracle EBS Implementations,,
KnowledgeNet,https://media.licdn.com/dms/image/C4D0BAQHUgP7qrTxmEg/company-logo_200_200/0/1659347198333?e=1691625600&v=beta&t=gSUYrxPUS8SbSf075DDYAy0nYIWYAm2MaKSb1QcA6Dk,https://media.licdn.com/dms/image/D4D1BAQEODc355c-3aA/company-background_10000/0/1669120753111?e=1683860400&v=beta&t=c24G-ESPA4qr9n8atpDj3LboE75htrUSslA38x4DWu8,"KN produces critical software for the regional financial services industry. Since 1999, we have had customers among the leading financial institutions in 7 countries. We have also expanded our software product offering significantly. 

In addition to superior product quality, KN is well known for its outstanding customer service that is based on our attitude of taking support personally. We learnt that technical issues are rarely technical.  

Our current strategy relies on extending our technology and capacity to serve both FinTechs as well as those who wish to build their own software products. We do this with a number of flexible engagement models.

We like to engage in relationships, not transactions.
","KN produces critical software for the regional financial services industry. Since 1999. with 3 offices KSA, UAE & EGYPT",15166.0,http://www.kn-it.com,kn-it.com,Riyadh,"2277 Makkah Al Mukarramah - Al Olaya Dist, Riyadh, 12622, SA",+966 53 405 0110,IT Services and IT Consulting,51-200 employees,,1999.0,235489.0,235489,https://www.linkedin.com/sales/company/235489/,202.0,KnowledgeNet,https://www.linkedin.com/company/235489/,2023-05-05T02:03:16.000Z,https://www.linkedin.com/company/knowledgenet/,"data cleansing, mission criticial software, Digitalization, and data migration",,
DG-Well,https://media.licdn.com/dms/image/C560BAQGOWmocdQ9smA/company-logo_200_200/0/1537900777394?e=1691625600&v=beta&t=l1KsToX1zmGMnw5f-xMy_qM_CLd-G1Gr0ulhG1BbUAg,https://media.licdn.com/dms/image/C561BAQF1OtGHIa55XQ/company-background_10000/0/1537901078075?e=1683860400&v=beta&t=uy9AVY9as0E8xs2PhUZ5WxhzHoUj6vFmzCChEL6hiCQ,"We are a digital Transformation start-up, Aiming to maximize the potential profitability of our partners by proactively developing innovative digital solutions, providing reliable services, adopting successful sustainable revenue streams, developing revenue sharing models, ensuring continuous service quality optimization and tapping into latest technology and creative talent to develop end-user applications with the right products.",We are a Digital Transformation start-up providing innovative digital solutions.,2544.0,http://www.dg-well.com/,dg-well.com,cairo,"Building 6062 Al Mojawra 6th -Al Mearag Road- Maadi, 1, cairo, Cairo 11435, EG",,IT Services and IT Consulting,11-50 employees,"cairo, Cairo",2017.0,27089843.0,27089843,https://www.linkedin.com/sales/company/27089843/,10.0,DG-Well,https://www.linkedin.com/company/27089843/,2023-05-05T02:03:35.895Z,https://www.linkedin.com/company/dg-well/,"Software Development, Business Analysis Consultations, Digital Transformation, Online Shopping, and Customer Satisfaction",,
,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/company/6538816/,2023-05-05T02:04:04.199Z,,,Unavailable company,
KIB,https://media.licdn.com/dms/image/C4D0BAQEbmAsA0uuA_Q/company-logo_200_200/0/1637762337657?e=1691625600&v=beta&t=hsIvMds-pJ0lzs1Y6Mv0rVaZ19mJ4YNzzraxAhyTyGk,https://media.licdn.com/dms/image/C4E1BAQHgtQb0tO_a1A/company-background_10000/0/1519798400707?e=1683860400&v=beta&t=vT7UTsVH1xg_aA_n9Kmz7iVt1LA5PC9OVBnF6HjOIS8," [KIB], a bank that operates according to the Islamic Shari’ah from 1st of July 2007, is a public quoted company.  It was incorporated in 1973 and was originally known as the Kuwait Real Estate Bank. 

As an Islamic bank, KIB’s business covers all banking services including Acceptance of Deposits, Financing Transactions, Direct Investment, Murabaha (auto, real estate and commodities), Ijara Muntahia Bittamleek (Lease-to-own) , Istisna’a, Tawarruq, Credit Cards, Wakala and other products. Corporate projects and finance, Treasury Services, Issuing Letters of Credit (L/Cs), Letter of Guarantee (L/Gs) and Real Estate Dealings and Management of Properties.

Currently, KIB has a network of 26 branches spread across the State of Kuwait.

Core Values:
-Commitment to maintaining the highest level of ethical standards in all transactions. 
-Professional integrity while interacting with customers. 
-Compliance with the provisions of the Islamic Shariah. 
-Adherence to regulatory compliance. 
 
Business Philosophy:
-Operational Excellence. 
-Customer Focus. 
-Innovative Products. 
-Outstanding Service.",Bank For Life,23128.0,http://www.kib.com.kw/,kib.com.kw,Kuwait City,"Mubarak Al-Kabeer Street, Joiint Banking Centre - West Tower, Kuwait City, Kuwait City 13089, KW",+965 1866866,Banking,"501-1,000 employees","Kuwait City, Kuwait City",1973.0,3285529.0,3285529,https://www.linkedin.com/sales/company/3285529/,1088.0,KIB,https://www.linkedin.com/company/3285529/,2023-05-05T02:04:22.689Z,https://www.linkedin.com/company/kibpage/,"Banking, Financial Services, Retail Banking, Corporate Banking, and Property Management",,
adam.ai,https://media.licdn.com/dms/image/D4E0BAQFock50ivnbWg/company-logo_200_200/0/1681742797124?e=1691625600&v=beta&t=U2K_VoaspXXq8bU-F6QjgzylIs3kB3DM5ztrqw0lPHs,https://media.licdn.com/dms/image/D4E1BAQFxg7yqz7jdrA/company-background_10000/0/1681742926532?e=1683860400&v=beta&t=BBix2I_kc0TAnHHTfj9LV_Eu0Iw--E98sWpQF13brW0,"adam.ai is an intelligent all-in-one meeting management platform to capture, manage, and share knowledge before, during, and after meetings, transform content into valuable assets, and drive successful business outcomes.",An intelligent all-in-one meeting management platform for the modern workplace.,10602.0,http://www.adam.ai,adam.ai,San Jose,"18 S 2nd Street, San Jose, CA 95113, US",+1 (408) 558-4450,Software Development,11-50 employees,"San Jose, CA",2017.0,18205566.0,18205566,https://www.linkedin.com/sales/company/18205566/,53.0,adam.ai,https://www.linkedin.com/company/18205566/,2023-05-05T02:04:41.851Z,https://www.linkedin.com/company/adamdotai/,"Meeting Management, Artificial Intelligence, Business Intelligence, Task Management, Project Management, Knowledge Management, and Workplace Efficiency",,
